number,character,Mandarin,Definition,primaryRadical,radicalMandarin,hanzipyStrokes,hanzipyRadicals
64a,一,yī,"one; a, an; alone",,,,
64b,丿,piě,line; Kangxi radical 4,,,,
64c,㇆,,,,,,
64d,戈,gē,"halberd, spear, lance; rad. 62",,,,
65,者,zhě,that which; he who; those who,老,lǎo,"耂, 口, 一",
65a,耂,lǎo,variant of radical 125,,,,
65b,日,rì,sun; day; daytime,,,,
66,多,duō,"much, many; more than, over",夕,xī,多,
66a,多,duō,"much, many; more than, over",,,,
67,日,rì,sun; day; daytime,日,rì,"口, 一",
67a,日,rì,sun; day; daytime,,,,
68,都,dōu dū,"metropolis, capital; all, the whole; elegant, refined",邑,yì,"耂, 口, 一, 丨, ㇌",
68a,耂,lǎo,variant of radical 125,,,,
68b,日,rì,sun; day; daytime,,,,
68c,阝,fù,place; Kangxi radical 170,,,,
69,三,sān,three,一,yī,"一, 二",
69a,一,yī,"one; a, an; alone",,,,
69b,二,èr,two; twice,,,,
70,小,xiǎo,"small, tiny, insignificant",小,xiǎo,"亅, 八",
70a,小,xiǎo,"small, tiny, insignificant",,,,
71,军,jūn,"army, military; soldiers, troops",冖,mì,"冖, 乚, 一, 一, 丨",
71a,冖,mì,cover; Kangxi radical 14,,,,
71b,车,chē,"cart, vehicle; carry in cart",,,,
72,二,èr,two; twice,二,èr,二,
72a,二,èr,two; twice,,,,
73,无,wú,"negative, no, not; Kangxi radical 71",无,wú,"一, 𠂇, 乚",
73a,无,wú,"negative, no, not; Kangxi radical 71",,,,
74,同,tóng,"same, similar; together with",口,kǒu,"冂, 一, 口",
74a,冂,jiōng,wide; Kangxi radical 13,,,,
74b,一,yī,"one; a, an; alone",,,,
74c,口,kǒu,"mouth; open end; entrance, gate",,,,
75,么,me,interrogative particle; small,丿,piě,"丿, ㇛, 丶",
75a,丿,piě,line; Kangxi radical 4,,,,
75b,厶,sī,"private, secret; Kangxi radical 28",,,,
76,经,jīng,classic works; pass through,纟,sī,"㇛, 一, 龴, 一, 丨, 一",
76a,纟,sī,silk; Kangxi radical 120,,,,
76b,龴,,,,,,
76c,工,gōng,"labor, work; worker, laborer",,,,
